格式为:mc电视名|dz直播地址
{@mc=CCTV-1|@dz=http://183.252.176.66//PLTV/88888888/224/3221225922/index.m3u8|
@mc=CCTV-2|@dz=http://183.252.176.47//PLTV/88888888/224/3221225923/index.m3u8|
@mc=CCTV-3|@dz=http://223.110.243.150/PLTV/3/224/3221225588/index.m3u8|
@mc=CCTV-4|@dz=http://61.166.153.32:1180/play/playback/90000001000000050000000000000199/live100001.m3u8|
@mc=CCTV-5|@dz=http://223.110.245.136/PLTV/3/224/3221227166/index.m3u8|
@mc=CCTV-6|@dz=http://223.110.245.172/PLTV/3/224/3221225548/index.m3u8|
@mc=CCTV-7|@dz=http://183.252.176.60//PLTV/88888888/224/3221225927/index.m3u8|
@mc=CCTV-8|@dz=http://223.110.245.150/PLTV/3/224/3221227204/index.m3u8|
@mc=CCTV-9|@dz=http://183.252.176.36//PLTV/88888888/224/3221225929/index.m3u8|
@mc=CCTV-10|@dz=http://183.252.176.12//PLTV/88888888/224/3221225931/index.m3u8|
@mc=CCTV-11|@dz=http://183.207.249.10/PLTV/3/224/3221225552/index.m3u8|
@mc=CCTV-12|@dz=http://183.252.176.48//PLTV/88888888/224/3221225932/index.m3u8|
@mc=CCTV-13新闻|@dz=http://183.252.176.22//PLTV/88888888/224/3221225933/index.m3u8|
@mc=CCTV-少儿|@dz=http://live.aikan.miguvideo.com/wd_r2/ocn/cctv14hd/1200/01.m3u8|
@mc=CCTV-1|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-1/dujuejiami.m3u8|
@mc=CCTV-2|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-2/dujuejiami.m3u8|
@mc=CCTV-3HD|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-3/dujuejiami.m3u8|
@mc=CCTV-4亚洲|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-4/dujuejiami.m3u8|
@mc=CCTV-5|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-5/dujuejiami.m3u8|
@mc=CCTV-5+|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/hd@mc=CCTV05plus/dujuejiami.m3u8|
@mc=CCTV-6HD|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-6/dujuejiami.m3u8|
@mc=CCTV-7|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-7/dujuejiami.m3u8|
@mc=CCTV-8HD|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-8/dujuejiami.m3u8|
@mc=CCTV-9HD|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-news/dujuejiami.m3u8|
@mc=CCTV-9英|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-9/dujuejiami.m3u8|
@mc=CCTV-10|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-10/dujuejiami.m3u8|
@mc=CCTV-11|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-11/dujuejiami.m3u8|
@mc=CCTV-12|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-12/dujuejiami.m3u8|
@mc=CCTV-13|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-13/dujuejiami.m3u8|
@mc=CCTV-14|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-14/dujuejiami.m3u8|
@mc=CCTV-15|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/@mc=CCTV-15/dujuejiami.m3u8|
@mc=凤凰中文HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/fhchinese/dujuejiami.m3u8|
@mc=凤凰资讯HD|@dz=http://223.82.250.94:8080/ysten-businessmobile/live/fhzixun/dujuejiami.m3u8|
@mc=CCTV-3HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/@mc=CCTV-3/astv.m3u8|
@mc=CCTV-5HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/@mc=CCTV-5/astv.m3u8|
@mc=CCTV-5+HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hd@mc=CCTV05plus/astv.m3u8|
@mc=CCTV-6HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/@mc=CCTV-6/astv.m3u8|
@mc=CCTV-8HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/@mc=CCTV-8/astv.m3u8|
@mc=CETV1中国教育|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/jiaoyutv/astv.m3u8|
@mc=阳光卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/yangguangstv/astv.m3u8|
@mc=澳门莲花|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/aomenlianhua/astv.m3u8|
@mc=凤凰中文HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/fhchinese/astv.m3u8|
@mc=湖南卫视HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hdhunanstv/astv.m3u8|
@mc=深圳卫视HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hdshenzhenstv/astv.m3u8|
@mc=江苏卫视HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hdjiangsustv/astv.m3u8|
@mc=广东卫视HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hdguangdongstv/astv.m3u8|
@mc=天津卫视HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hdtianjinstv/astv.m3u8|
@mc=江西卫视HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/jiangxistv/astv.m3u8|
@mc=湖北卫视HD|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hdhubeistv/astv.m3u8|
@mc=四川卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/sichuanstv/astv.m3u8|
@mc=安徽卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/anhuistv/astv.m3u8|
@mc=辽宁卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/liaoningstv/astv.m3u8|
@mc=河北卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/hebeistv/astv.m3u8|
@mc=甘肃卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/gansustv/astv.m3u8|
@mc=陕西卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/shanxi1stv/astv.m3u8|
@mc=内蒙古卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/neimenggustv/astv.m3u8|
@mc=新疆卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/xinjiangstv/astv.m3u8|
@mc=云南卫视|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/yunnanstv/astv.m3u8|
@mc=山东教育|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/shandongjy/astv.m3u8|
@mc=卡酷少儿|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/kakukaton/astv.m3u8|
@mc=优漫卡通|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/youmankaton/astv.m3u8|
@mc=YST完美游戏|@dz=http://223.82.250.95:8080/ysten-businessmobile/live/wmyx/astv.m3u8|
CN3- 183.207.249.8

@mc=CCTV-1HD|@dz=http://183.207.249.8/PLTV/3/224/3221225680/index.m3u8|
@mc=CCTV-3HD|@dz=http://183.207.249.8/PLTV/3/224/3221225588/index.m3u8|
