格式为:mc电视名|dz直播地址
{@mc=安多卫视|@dz=http://183.207.249.14/PLTV/3/224/3221225694/index.m3u8|
@mc=安徽卫视|@dz=http://r.gslb.lecloud.com/live/hls/201704243000000wn19/desc.m3u8|
@mc=北京卫视|@dz=http://183.251.61.204//PLTV/88888888/224/3221225826/index.m3u8|
@mc=重庆卫视|@dz=http://183.252.176.36//PLTV/88888888/224/3221225949/index.m3u8|
@mc=东方卫视|@dz=http://183.251.61.226/PLTV/88888888/224/3221225828/index.m3u8|
@mc=东南卫视|@dz=http://183.207.249.15/PLTV/2/224/3221226067/index.m3u8|@mc=甘肃卫视|@dz=http://183.207.249.14/PLTV/3/224/3221225590/index.m3u8|
@mc=广东卫视|@dz=http://183.252.176.12//PLTV/88888888/224/3221225942/index.m3u8|
@mc=广西卫视|@dz=http://183.207.249.14/PLTV/3/224/3221225554/index.m3u8|
@mc=贵州卫视|@dz=http://27.148.240.200/PLTV/88888888/224/3221226147/1.m3u8|
@mc=河北卫视|@dz=http://weblive.hebtv.com/live/hbws_bq/index.m3u8|
@mc=河南卫视|@dz=http://zzcs1.ott.henancatv.com/mlive/172_30_100_77_/cdn_proxy/os_ott_henancatv_com/live/HWH/3.m3u8|
@mc=黑龙江卫视|@dz=http://183.252.176.13//PLTV/88888888/224/3221225940/index.m3u8|
@mc=湖北卫视|@dz=http://183.252.176.58//PLTV/88888888/224/3221225948/index.m3u8|
@mc=湖南卫视|@dz=http://183.251.61.207//PLTV/88888888/224/3221225827/index.m3u8|
@mc=吉林卫视|@dz=http://azure3a-live.bestvcdn.com.cn/live/program/Dbst.mobile.live.bestvcdn.com.cnD/_epowmkck_keyE198F63AB3AE34AB1098776A98D2F421D50A36E8D21B463C00CA2F942A257F56_/live/jlws/1300000/d1.m3u8|
@mc=江苏卫视|@dz=http://183.252.176.41//PLTV/88888888/224/3221225930/index.m3u8
@mc=江西卫视|@dz=http://223.110.245.171/PLTV/3/224/3221225536/index.m3u8|
@mc=辽宁卫视|@dz=http://183.252.176.49//PLTV/88888888/224/3221225947/index.m3u8
@mc=旅游卫视|@dz=http://stream1.hnntv.cn/lywsgq/sd/live.m3u8|
@mc=新疆卫视|@dz=http://playback-livehyuwxjtv122qn.sobeycache.com/sobeylive/xjtv1.m3u8|
@mc=内蒙古卫视|@dz=http://183.207.249.10/PLTV/3/224/3221225624/index.m3u8|
